Model,MSO24
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.00000000e-09
Record Length,250000
Zero Index,124999.18750000
Vertical Units,V

Labels,
TIME,CH1
-9.99993500e-04,1.36000000e-01
-9.99985500e-04,1.36000000e-01
-9.99977500e-04,1.36000000e-01
-9.99969500e-04,1.36000000e-01
-9.99961500e-04,1.36800000e-01
-9.99953500e-04,1.36000000e-01
-9.99945500e-04,1.36000000e-01
-9.99937500e-04,1.36000000e-01
-9.99929500e-04,1.36800000e-01
-9.99921500e-04,1.36000000e-01
-9.99913500e-04,1.36000000e-01
-9.99905500e-04,1.35200000e-01
-9.99897500e-04,1.36000000e-01
-9.99889500e-04,1.36000000e-01
-9.99881500e-04,1.36000000e-01
-9.99873500e-04,1.36000000e-01
-9.99865500e-04,1.36000000e-01
-9.99857500e-04,1.36800000e-01
-9.99849500e-04,1.35200000e-01
-9.99841500e-04,1.36800000e-01
-9.99833500e-04,1.36800000e-01
-9.99825500e-04,1.36000000e-01
-9.99817500e-04,1.36000000e-01
-9.99809500e-04,1.36800000e-01
-9.99801500e-04,1.36800000e-01
-9.99793500e-04,1.36000000e-01
-9.99785500e-04,1.36800000e-01
-9.99777500e-04,1.35200000e-01
-9.99769500e-04,1.35200000e-01
-9.99761500e-04,1.36000000e-01
-9.99753500e-04,1.36000000e-01
-9.99745500e-04,1.36000000e-01
-9.99737500e-04,1.36000000e-01
-9.99729500e-04,1.36000000e-01
-9.99721500e-04,1.36000000e-01
-9.99713500e-04,1.36000000e-01
-9.99705500e-04,1.36000000e-01
-9.99697500e-04,1.36000000e-01
-9.99689500e-04,1.36000000e-01
-9.99681500e-04,1.35200000e-01
-9.99673500e-04,1.36000000e-01
-9.99665500e-04,1.36800000e-01
-9.99657500e-04,1.36000000e-01
-9.99649500e-04,1.36000000e-01
-9.99641500e-04,1.36000000e-01
-9.99633500e-04,1.36000000e-01
-9.99625500e-04,1.36000000e-01
-9.99617500e-04,1.36000000e-01
-9.99609500e-04,1.36800000e-01
-9.99601500e-04,1.36000000e-01
-9.99593500e-04,1.36000000e-01
-9.99585500e-04,1.36800000e-01
-9.99577500e-04,1.36000000e-01
-9.99569500e-04,1.36000000e-01
-9.99561500e-04,1.36000000e-01
-9.99553500e-04,1.36000000e-01
-9.99545500e-04,1.36800000e-01
-9.99537500e-04,1.36800000e-01
-9.99529500e-04,1.36800000e-01
-9.99521500e-04,1.36000000e-01
-9.99513500e-04,1.36000000e-01
-9.99505500e-04,1.36800000e-01
-9.99497500e-04,1.36800000e-01
-9.99489500e-04,1.36000000e-01
-9.99481500e-04,1.36000000e-01
-9.99473500e-04,1.36800000e-01
-9.99465500e-04,1.36000000e-01
-9.99457500e-04,1.36000000e-01
-9.99449500e-04,1.36000000e-01
-9.99441500e-04,1.36800000e-01
-9.99433500e-04,1.36000000e-01
-9.99425500e-04,1.36800000e-01
-9.99417500e-04,1.35200000e-01
-9.99409500e-04,1.36800000e-01
-9.99401500e-04,1.36000000e-01
-9.99393500e-04,1.36000000e-01
-9.99385500e-04,1.36800000e-01
-9.99377500e-04,1.36000000e-01
-9.99369500e-04,1.36800000e-01
-9.99361500e-04,1.36800000e-01
-9.99353500e-04,1.36000000e-01
-9.99345500e-04,1.36000000e-01
-9.99337500e-04,1.36000000e-01
-9.99329500e-04,1.36800000e-01
-9.99321500e-04,1.36000000e-01
-9.99313500e-04,1.36800000e-01
