Model,MSO24
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-08
Record Length,250000
Zero Index,172499.56250000
Vertical Units,V

Labels,
TIME,CH4
-6.89998250e-03,4.78000000e-02
-6.89994250e-03,4.78000000e-02
-6.89990250e-03,4.78000000e-02
-6.89986250e-03,4.78000000e-02
-6.89982250e-03,4.78000000e-02
-6.89978250e-03,4.78000000e-02
-6.89974250e-03,4.78000000e-02
-6.89970250e-03,4.78000000e-02
-6.89966250e-03,4.78000000e-02
-6.89962250e-03,4.78000000e-02
-6.89958250e-03,4.78000000e-02
-6.89954250e-03,4.78000000e-02
-6.89950250e-03,4.78000000e-02
-6.89946250e-03,4.78000000e-02
-6.89942250e-03,4.78000000e-02
-6.89938250e-03,4.78000000e-02
-6.89934250e-03,4.78000000e-02
-6.89930250e-03,4.78000000e-02
-6.89926250e-03,4.78000000e-02
-6.89922250e-03,4.78000000e-02
-6.89918250e-03,4.78000000e-02
-6.89914250e-03,4.78000000e-02
-6.89910250e-03,4.78000000e-02
-6.89906250e-03,4.78000000e-02
-6.89902250e-03,4.78000000e-02
-6.89898250e-03,4.78000000e-02
-6.89894250e-03,4.78000000e-02
-6.89890250e-03,4.78000000e-02
-6.89886250e-03,4.98000000e-02
-6.89882250e-03,4.98000000e-02
-6.89878250e-03,4.78000000e-02
-6.89874250e-03,4.78000000e-02
-6.89870250e-03,4.78000000e-02
-6.89866250e-03,4.78000000e-02
-6.89862250e-03,4.78000000e-02
-6.89858250e-03,4.78000000e-02
-6.89854250e-03,4.78000000e-02
-6.89850250e-03,4.78000000e-02
-6.89846250e-03,4.78000000e-02
-6.89842250e-03,4.78000000e-02
-6.89838250e-03,4.78000000e-02
-6.89834250e-03,4.78000000e-02
-6.89830250e-03,4.78000000e-02
-6.89826250e-03,4.98000000e-02
-6.89822250e-03,4.78000000e-02
-6.89818250e-03,4.78000000e-02
-6.89814250e-03,4.78000000e-02
-6.89810250e-03,4.78000000e-02
-6.89806250e-03,4.78000000e-02
-6.89802250e-03,4.78000000e-02
-6.89798250e-03,4.58000000e-02
-6.89794250e-03,4.78000000e-02
-6.89790250e-03,4.78000000e-02
-6.89786250e-03,4.78000000e-02
-6.89782250e-03,4.78000000e-02
-6.89778250e-03,4.78000000e-02
-6.89774250e-03,4.78000000e-02
-6.89770250e-03,4.78000000e-02
-6.89766250e-03,4.78000000e-02
-6.89762250e-03,4.78000000e-02
-6.89758250e-03,4.78000000e-02
-6.89754250e-03,4.78000000e-02
-6.89750250e-03,4.78000000e-02
-6.89746250e-03,4.78000000e-02
-6.89742250e-03,4.78000000e-02
-6.89738250e-03,4.78000000e-02
-6.89734250e-03,4.78000000e-02
-6.89730250e-03,4.78000000e-02
-6.89726250e-03,4.78000000e-02
-6.89722250e-03,4.58000000e-02
-6.89718250e-03,4.78000000e-02
-6.89714250e-03,4.98000000e-02
-6.89710250e-03,4.98000000e-02
-6.89706250e-03,4.78000000e-02
-6.89702250e-03,4.98000000e-02
-6.89698250e-03,4.98000000e-02
-6.89694250e-03,4.98000000e-02
-6.89690250e-03,4.78000000e-02
-6.89686250e-03,4.78000000e-02
-6.89682250e-03,4.78000000e-02
-6.89678250e-03,4.78000000e-02
-6.89674250e-03,4.78000000e-02
-6.89670250e-03,4.78000000e-02
-6.89666250e-03,4.78000000e-02
-6.89662250e-03,4.78000000e-02
-6.89658250e-03,4.78000000e-02
