Model,MSO24
Channel,CH1,,Channel,CH2,,Channel,CH3
Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-08,,Sample Interval,4.00000000e-08,,Sample Interval,4.00000000e-08
Record Length,250000,,Record Length,250000,,Record Length,250000
Zero Index,4999.00000000,,Zero Index,4999.00000000,,Zero Index,4999.00000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,

Labels,,,
TIME,CH1,CH2,CH3
-1.99960000e-04,5.23800000e+00,4.03000000e+00,-8.70000000e-02
-1.99920000e-04,5.23800000e+00,4.03000000e+00,-8.70000000e-02
-1.99880000e-04,5.25800000e+00,4.05000000e+00,-8.70000000e-02
-1.99840000e-04,5.23800000e+00,4.05000000e+00,-8.70000000e-02
-1.99800000e-04,5.25800000e+00,4.03000000e+00,-8.70000000e-02
-1.99760000e-04,5.25800000e+00,4.03000000e+00,-8.70000000e-02
-1.99720000e-04,5.25800000e+00,4.03000000e+00,-8.70000000e-02
-1.99680000e-04,5.23800000e+00,4.05000000e+00,-8.70000000e-02
-1.99640000e-04,5.23800000e+00,4.03000000e+00,-8.70000000e-02
-1.99600000e-04,5.25800000e+00,4.03000000e+00,-8.70000000e-02
-1.99560000e-04,5.25800000e+00,4.05000000e+00,-8.70000000e-02
-1.99520000e-04,5.25800000e+00,4.03000000e+00,-8.70000000e-02
-1.99480000e-04,5.25800000e+00,4.05000000e+00,-8.70000000e-02
-1.99440000e-04,5.23800000e+00,4.03000000e+00,-8.70000000e-02
-1.99400000e-04,5.25800000e+00,4.03000000e+00,-8.70000000e-02
-1.99360000e-04,5.25800000e+00,4.03000000e+00,-8.70000000e-02
-1.99320000e-04,5.25800000e+00,4.03000000e+00,-8.70000000e-02
-1.99280000e-04,5.25800000e+00,4.03000000e+00,-8.70000000e-02
-1.99240000e-04,5.25800000e+00,4.03000000e+00,-1.07000000e-01
-1.99200000e-04,5.25800000e+00,4.05000000e+00,-8.70000000e-02
-1.99160000e-04,5.25800000e+00,4.03000000e+00,-8.70000000e-02
-1.99120000e-04,5.25800000e+00,4.03000000e+00,-8.70000000e-02
-1.99080000e-04,5.27800000e+00,4.05000000e+00,-8.70000000e-02
-1.99040000e-04,5.25800000e+00,4.03000000e+00,-8.70000000e-02
-1.99000000e-04,5.25800000e+00,4.03000000e+00,-8.70000000e-02
-1.98960000e-04,5.25800000e+00,4.05000000e+00,-8.70000000e-02
-1.98920000e-04,5.25800000e+00,4.03000000e+00,-8.70000000e-02
-1.98880000e-04,5.27800000e+00,4.05000000e+00,-8.70000000e-02
-1.98840000e-04,5.25800000e+00,4.05000000e+00,-8.70000000e-02
-1.98800000e-04,5.25800000e+00,4.03000000e+00,-8.70000000e-02
-1.98760000e-04,5.25800000e+00,4.05000000e+00,-8.70000000e-02
-1.98720000e-04,5.25800000e+00,4.05000000e+00,-8.70000000e-02
-1.98680000e-04,5.25800000e+00,4.03000000e+00,-8.70000000e-02
-1.98640000e-04,5.25800000e+00,4.05000000e+00,-8.70000000e-02
-1.98600000e-04,5.25800000e+00,4.03000000e+00,-8.70000000e-02
-1.98560000e-04,5.25800000e+00,4.05000000e+00,-8.70000000e-02
-1.98520000e-04,5.25800000e+00,4.03000000e+00,-8.70000000e-02
-1.98480000e-04,5.25800000e+00,4.05000000e+00,-8.70000000e-02
-1.98440000e-04,5.25800000e+00,4.03000000e+00,-8.70000000e-02
-1.98400000e-04,5.25800000e+00,4.05000000e+00,-8.70000000e-02
-1.98360000e-04,5.25800000e+00,4.05000000e+00,-8.70000000e-02
-1.98320000e-04,5.25800000e+00,4.03000000e+00,-8.70000000e-02
-1.98280000e-04,5.23800000e+00,4.03000000e+00,-8.70000000e-02
-1.98240000e-04,5.25800000e+00,4.03000000e+00,-8.70000000e-02
-1.98200000e-04,5.23800000e+00,4.05000000e+00,-8.70000000e-02
-1.98160000e-04,5.23800000e+00,4.05000000e+00,-8.70000000e-02
-1.98120000e-04,5.25800000e+00,4.03000000e+00,-8.70000000e-02
-1.98080000e-04,5.23800000e+00,4.05000000e+00,-8.70000000e-02
-1.98040000e-04,5.25800000e+00,4.03000000e+00,-8.70000000e-02
-1.98000000e-04,5.23800000e+00,4.03000000e+00,-8.70000000e-02
-1.97960000e-04,5.23800000e+00,4.05000000e+00,-8.70000000e-02
-1.97920000e-04,5.23800000e+00,4.03000000e+00,-8.70000000e-02
-1.97880000e-04,5.23800000e+00,4.03000000e+00,-8.70000000e-02
-1.97840000e-04,5.23800000e+00,4.03000000e+00,-6.70000000e-02
-1.97800000e-04,5.23800000e+00,4.05000000e+00,-8.70000000e-02
-1.97760000e-04,5.23800000e+00,4.03000000e+00,-6.70000000e-02
-1.97720000e-04,5.23800000e+00,4.05000000e+00,-8.70000000e-02
