Model,MSO24
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-10
Record Length,50000
Zero Index,24999.50000000
Vertical Units,V

Labels,
TIME,CH1
-9.99980000e-06,1.06460000e-02
-9.99940000e-06,1.06460000e-02
-9.99900000e-06,1.06460000e-02
-9.99860000e-06,1.06460000e-02
-9.99820000e-06,1.08180000e-02
-9.99780000e-06,1.08180000e-02
-9.99740000e-06,1.08180000e-02
-9.99700000e-06,1.06460000e-02
-9.99660000e-06,1.06460000e-02
-9.99620000e-06,1.04740000e-02
-9.99580000e-06,1.04740000e-02
-9.99540000e-06,1.04740000e-02
-9.99500000e-06,1.06460000e-02
-9.99460000e-06,1.06460000e-02
-9.99420000e-06,1.08180000e-02
-9.99380000e-06,1.09900000e-02
-9.99340000e-06,1.09900000e-02
-9.99300000e-06,1.09900000e-02
-9.99260000e-06,1.09900000e-02
-9.99220000e-06,1.08180000e-02
-9.99180000e-06,1.08180000e-02
-9.99140000e-06,1.08180000e-02
-9.99100000e-06,1.08180000e-02
-9.99060000e-06,1.06460000e-02
-9.99020000e-06,1.06460000e-02
-9.98980000e-06,1.06460000e-02
-9.98940000e-06,1.08180000e-02
-9.98900000e-06,1.08180000e-02
-9.98860000e-06,1.09900000e-02
-9.98820000e-06,1.09900000e-02
-9.98780000e-06,1.09900000e-02
-9.98740000e-06,1.09900000e-02
-9.98700000e-06,1.09900000e-02
-9.98660000e-06,1.08180000e-02
-9.98620000e-06,1.08180000e-02
-9.98580000e-06,1.06460000e-02
-9.98540000e-06,1.06460000e-02
-9.98500000e-06,1.06460000e-02
-9.98460000e-06,1.06460000e-02
-9.98420000e-06,1.06460000e-02
-9.98380000e-06,1.06460000e-02
-9.98340000e-06,1.06460000e-02
-9.98300000e-06,1.06460000e-02
-9.98260000e-06,1.06460000e-02
-9.98220000e-06,1.06460000e-02
-9.98180000e-06,1.06460000e-02
-9.98140000e-06,1.06460000e-02
-9.98100000e-06,1.06460000e-02
-9.98060000e-06,1.06460000e-02
-9.98020000e-06,1.08180000e-02
-9.97980000e-06,1.08180000e-02
-9.97940000e-06,1.06460000e-02
-9.97900000e-06,1.06460000e-02
-9.97860000e-06,1.04740000e-02
-9.97820000e-06,1.03020000e-02
-9.97780000e-06,1.03020000e-02
-9.97740000e-06,1.03020000e-02
-9.97700000e-06,1.03020000e-02
-9.97660000e-06,1.03020000e-02
-9.97620000e-06,1.03020000e-02
-9.97580000e-06,1.03020000e-02
-9.97540000e-06,1.03020000e-02
-9.97500000e-06,1.04740000e-02
-9.97460000e-06,1.04740000e-02
-9.97420000e-06,1.06460000e-02
-9.97380000e-06,1.06460000e-02
-9.97340000e-06,1.08180000e-02
-9.97300000e-06,1.08180000e-02
-9.97260000e-06,1.08180000e-02
-9.97220000e-06,1.08180000e-02
-9.97180000e-06,1.08180000e-02
-9.97140000e-06,1.08180000e-02
-9.97100000e-06,1.09900000e-02
-9.97060000e-06,1.09900000e-02
-9.97020000e-06,1.09900000e-02
-9.96980000e-06,1.09900000e-02
-9.96940000e-06,1.09900000e-02
-9.96900000e-06,1.08180000e-02
-9.96860000e-06,1.08180000e-02
-9.96820000e-06,1.09900000e-02
-9.96780000e-06,1.09900000e-02
-9.96740000e-06,1.09900000e-02
-9.96700000e-06,1.08180000e-02
-9.96660000e-06,1.08180000e-02
-9.96620000e-06,1.06460000e-02
-9.96580000e-06,1.06460000e-02
